id,name,source_ref,description,type_dims,level_dims,basis_dims,environment_dims,mode_dims,physicality_dims,cognitive_dims
9b46a390-9787-50cc-9cb5-ab59a7e750aa,Oral Comprehension,1.A.1.a.1,,Cognitive,Moderate|High|Low,Academic|Professional Development,,,,
b5db2def-c9f0-55b4-b5c6-ab6e66d35a1d,Written Comprehension,1.A.1.a.2,,Cognitive,Moderate|High|Low,Academic|Professional Development,,,,
1ab8c6ce-25af-55c5-8542-3b4f1cdc4fb6,Oral Expression,1.A.1.a.3,,Cognitive,Moderate|High|Low,Academic|Professional Development,,,,
8a6bf2c0-46f8-5777-b41b-26685314c13d,Written Expression,1.A.1.a.4,,Cognitive,Moderate|Low|High,Academic|Professional Development,,,,
a53fbe77-6d79-5baf-9f34-06f0b22d0aa5,Fluency of Ideas,1.A.1.b.1,,Cognitive,Moderate|Low|High,Academic|Professional Development,,,,
da247760-c028-5d23-8ba8-ffe06be44c1f,Originality,1.A.1.b.2,,Cognitive,Moderate|Low|High,Academic|Professional Development,,,,
964beb5a-19c9-5e61-905b-35bd2a9e2238,Problem Sensitivity,1.A.1.b.3,,Cognitive,Moderate|Low|High,Academic|Professional Development,,,,
21ad68a5-22b1-5cd0-83c3-0992a8abbc96,Deductive Reasoning,1.A.1.b.4,,Cognitive,Moderate|Low|High,Academic|Professional Development,,,,
c3c04933-32ce-5a5d-add0-55a51d86b0db,Information Ordering,1.A.1.b.6,,Cognitive,Moderate|Low,Academic|Professional Development,,,,
814ec259-d628-560b-8ff5-01570b9b29e5,Category Flexibility,1.A.1.b.7,,Cognitive,Moderate|Low|High,Academic|Professional Development,,,,
fd5fbe1b-a2cd-5d50-9673-bda2053873f5,Mathematical Reasoning,1.A.1.c.1,,Cognitive,Moderate|Low|High,Academic|Professional Development,,,,
0a21f609-3bd4-5efd-a855-deb4530386cc,Number Facility,1.A.1.c.2,,Cognitive,Moderate|Low|High,Academic|Professional Development,,,,
e5a444e7-b188-5deb-994f-3c60e4bfb8f3,Speed of Closure,1.A.1.e.1,,Cognitive,Moderate|Low,Academic|Professional Development,,,,
bb4f81e1-35bd-5c3e-b6f2-683b8a657864,Flexibility of Closure,1.A.1.e.2,,Cognitive,Moderate|Low,Academic|Professional Development,,,,
0f9dc5fd-c207-5fb2-8957-0de6a62b606f,Perceptual Speed,1.A.1.e.3,,Cognitive,Low|Moderate,Academic|Professional Development,,,,
2a7f24a2-aad9-5515-9840-eece3ce76800,Visualization,1.A.1.f.2,,Cognitive,Moderate|Low,Academic|Professional Development,,,,
2c23902a-f326-5071-a0c8-8a3f99d7b17a,Selective Attention,1.A.1.g.1,,Cognitive,Moderate|Low,Academic|Professional Development,,,,
2a704e30-cd15-54af-b1f0-212296622cd7,Near Vision,1.A.4.a.1,,Sensory,Moderate|Low|High,Academic|Professional Development,,,,
cd6e47eb-b109-568e-ac72-8d6ca90664d8,Speech Recognition,1.A.4.b.4,,Sensory,Moderate|Low|High,Academic|Professional Development,,,,
e15d0ccc-d6ee-50d8-a0a6-f9f3d7746a3f,Speech Clarity,1.A.4.b.5,,Sensory,Moderate|Low|High,Academic|Professional Development,,,,
460c7d16-5fb9-5b8d-9017-864c7039dbd4,Time Sharing,1.A.1.g.2,,Cognitive,Low|Moderate|High,On-the-Job Training|Vocational Training,,,,
8938848f-b49f-577b-9210-d5f73e213847,Visual Color Discrimination,1.A.4.a.3,,Sensory,Low|Moderate|High,Academic,,,,
a0fecc67-ab94-52c1-86b9-e5b2a060396d,Memorization,1.A.1.d.1,,Cognitive,Low|Moderate,Academic,,,,
35c138c9-47b4-5edf-80ee-4b7c9aa47c6d,Arm-Hand Steadiness,1.A.2.a.1,,Physical,Low|Moderate|High,Academic,,,,
45f74896-2428-566f-9db8-b7c2f42f7394,Manual Dexterity,1.A.2.a.2,,Physical,Low|Moderate|High,On-the-Job Training,,,,
eab39a71-c9af-51c8-a1e9-0dbee653c564,Trunk Strength,1.A.3.a.4,,Physical,Moderate|Low,Academic,,,,
75a3e3ef-b60d-5f99-a038-9b9136318d03,Finger Dexterity,1.A.2.a.3,,Physical,Low|Moderate|High,On-the-Job Training|Vocational Training,,,,
33c68ce6-904d-57b5-bf9b-1233fe3a65e2,Spatial Orientation,1.A.1.f.1,,Cognitive,Moderate|Low,Academic,,,,
f64e9a2c-e9eb-58e7-8b97-4b8678b84af8,Control Precision,1.A.2.b.1,,Physical,Low|Moderate|High,Academic,,,,
89343949-255c-58c7-97a0-83236ded3510,Depth Perception,1.A.4.a.6,,Sensory,Low|Moderate,Academic,,,,
f85d4279-96bd-50ef-9b9a-fa17943f2619,Multilimb Coordination,1.A.2.b.2,,Physical,Moderate|Low,On-the-Job Training|Vocational Training,,,,
8663f62b-4d87-526f-8b7a-fff90837100f,Reaction Time,1.A.2.c.1,,Physical,Moderate|Low,On-the-Job Training|Vocational Training,,,,
ec27fada-4dc2-5fe6-8109-44b16ea6511b,Hearing Sensitivity,1.A.4.b.1,,Sensory,Moderate|High|Low,On-the-Job Training|Vocational Training,,,,
65cd9096-2d43-5d3e-9ebd-de40a118be1d,Auditory Attention,1.A.4.b.2,,Sensory,Moderate|Low,On-the-Job Training|Vocational Training,,,,
119ee455-8edc-5afe-a74a-e065bfb1ec7a,Static Strength,1.A.3.a.1,,Physical,Low|Moderate,On-the-Job Training|Vocational Training,,,,
cfa9ed12-b93e-5d9c-b300-4ed07028db6b,Stamina,1.A.3.b.1,,Physical,Low|Moderate,Academic|Professional Development,,,,
da4fe853-ccef-5d5c-a0cb-6b9b35b3071f,Extent Flexibility,1.A.3.c.1,,Physical,Low|Moderate,Academic|Professional Development,,,,
2e8178e9-063a-50ff-ad51-ba8f32a1d422,Gross Body Coordination,1.A.3.c.3,,Physical,Low|Moderate|High,Academic|Professional Development,,,,
0ebc0f64-d5f7-5962-ae65-03a76c5dd4d5,Explosive Strength,1.A.3.a.2,,Physical,Moderate|Low,On-the-Job Training,,,,
05e14d33-82ca-5abb-b152-596ba2006c4f,Dynamic Strength,1.A.3.a.3,,Physical,Moderate|Low,On-the-Job Training,,,,
