occupation_id,entity_id,level,type,basis,importance_score
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,9b46a390-9787-50cc-9cb5-ab59a7e750aa,Moderate,Cognitive,Academic,4.62
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,b5db2def-c9f0-55b4-b5c6-ab6e66d35a1d,Moderate,Cognitive,Academic,4.25
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,1ab8c6ce-25af-55c5-8542-3b4f1cdc4fb6,Moderate,Cognitive,Academic,4.5
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,8a6bf2c0-46f8-5777-b41b-26685314c13d,Moderate,Cognitive,Academic,4.12
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,a53fbe77-6d79-5baf-9f34-06f0b22d0aa5,Moderate,Cognitive,Academic,3.88
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,da247760-c028-5d23-8ba8-ffe06be44c1f,Moderate,Cognitive,Academic,3.75
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,964beb5a-19c9-5e61-905b-35bd2a9e2238,Moderate,Cognitive,Academic,4.0
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,21ad68a5-22b1-5cd0-83c3-0992a8abbc96,Moderate,Cognitive,Academic,4.12
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,c3c04933-32ce-5a5d-add0-55a51d86b0db,Moderate,Cognitive,Academic,4.0
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,814ec259-d628-560b-8ff5-01570b9b29e5,Moderate,Cognitive,Academic,3.5
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,fd5fbe1b-a2cd-5d50-9673-bda2053873f5,Moderate,Cognitive,Academic,3.25
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,0a21f609-3bd4-5efd-a855-deb4530386cc,Moderate,Cognitive,Academic,3.12
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,e5a444e7-b188-5deb-994f-3c60e4bfb8f3,Moderate,Cognitive,Academic,3.0
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,bb4f81e1-35bd-5c3e-b6f2-683b8a657864,Moderate,Cognitive,Academic,3.25
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,0f9dc5fd-c207-5fb2-8957-0de6a62b606f,Low,Cognitive,Academic,3.0
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,2a7f24a2-aad9-5515-9840-eece3ce76800,Moderate,Cognitive,Academic,3.0
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,2c23902a-f326-5071-a0c8-8a3f99d7b17a,Moderate,Cognitive,Academic,3.0
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,2a704e30-cd15-54af-b1f0-212296622cd7,Moderate,Sensory,Academic,3.62
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,cd6e47eb-b109-568e-ac72-8d6ca90664d8,Moderate,Sensory,Academic,4.0
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,e15d0ccc-d6ee-50d8-a0a6-f9f3d7746a3f,Moderate,Sensory,Academic,4.25
3358c025-edfe-5649-9995-bca8423777e2,9b46a390-9787-50cc-9cb5-ab59a7e750aa,Moderate,Cognitive,Academic,4.0
3358c025-edfe-5649-9995-bca8423777e2,b5db2def-c9f0-55b4-b5c6-ab6e66d35a1d,Moderate,Cognitive,Academic,4.0
3358c025-edfe-5649-9995-bca8423777e2,1ab8c6ce-25af-55c5-8542-3b4f1cdc4fb6,Moderate,Cognitive,Academic,4.0
3358c025-edfe-5649-9995-bca8423777e2,8a6bf2c0-46f8-5777-b41b-26685314c13d,Moderate,Cognitive,Academic,4.12
3358c025-edfe-5649-9995-bca8423777e2,a53fbe77-6d79-5baf-9f34-06f0b22d0aa5,Moderate,Cognitive,Academic,3.88
