occupation_id,function_id,physicality,cognitive,environment
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,7899a0b4-3aeb-5633-9eac-cd9f64e76e5d,Moderate,Heavy,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,fe6a5b26-c30a-595c-a6bc-449fd45b97f8,Moderate,Heavy,Outdoors
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,0c044331-4608-5787-a63d-df7d8b18146a,Light,Heavy,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,8931ae0b-2cb4-58f4-b5fd-8f4a0eeea537,Light,Heavy,Indoors (Office/Lab)
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,a02eb264-f355-557a-b3da-5bd7a0b613b8,Moderate,Heavy,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,d86955e3-05df-537d-b9e3-caa9cea8cc83,Light,Heavy,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,4417904f-d25d-5d0b-9633-3e9f7bfa5032,Moderate,Heavy,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,5d29f83d-92a7-51c6-beb3-8713c95155c3,Light,Heavy,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,2f8a9a65-ade2-556a-a067-38d41461fb91,Moderate,Heavy,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,4b6d866e-e965-5dfc-935c-59e276ee8a51,Moderate,Heavy,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,5ef424ef-7c5c-5c6b-82dd-cdd961bf2517,Moderate,Heavy,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,bdea0abc-0955-5d4b-95c4-068ee6349b55,Moderate,Heavy,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,ecb8bb99-ce48-54ad-abac-04c48fd2a6ab,Light,Heavy,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,c8581fa8-b4ab-532e-994c-345e2a9c7edc,Light,Heavy,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,9303eba0-3f9d-5a23-b372-9f6e52d9264b,Light,Heavy,Virtual/Remote
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,921227ee-7199-591b-8226-9ec52a5e9146,Light,Heavy,Indoors (Office/Lab)
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,90925f60-f354-589c-aa43-20f47469db64,Light,Heavy,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,4b565414-5eef-55aa-a786-bb76369f8718,Moderate,Heavy,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,0fc92554-a487-597e-a254-ba05d203b21c,Moderate,Heavy,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,294a89d8-5ebf-5340-86de-4366a2f4abf4,Moderate,Heavy,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,6972e68d-2610-5973-94ca-ed1745892687,Moderate,Heavy,Public-Facing
