id,name,source_ref,description,type_dims,level_dims,basis_dims,environment_dims,mode_dims,physicality_dims,cognitive_dims
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,Chief Executives,11-1011.00,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",,,,,,,
3358c025-edfe-5649-9995-bca8423777e2,Chief Sustainability Officers,11-1011.03,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",,,,,,,
04cf3199-125a-5e4b-9a15-05a5828570a3,General and Operations Managers,11-1021.00,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",,,,,,,
563d2efd-21e9-5264-8c07-112b9f6c6281,Legislators,11-1031.00,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,,,,,,
6bf79092-e414-55f9-bfa0-672ceab05923,Advertising and Promotions Managers,11-2011.00,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",,,,,,,
5fb0b246-0d82-54f8-938d-c49f7590d395,Marketing Managers,11-2021.00,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",,,,,,,
2ca1e436-18ed-5202-bdef-ac30f1da296c,Sales Managers,11-2022.00,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",,,,,,,
1941ae8d-afe2-5eca-a68d-a6e4ddc25425,Public Relations Managers,11-2032.00,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",,,,,,,
79d09b85-a859-5d83-8aae-227319949574,Fundraising Managers,11-2033.00,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",,,,,,,
82c4b55d-e3f4-5ad1-831e-81e3cea3e2d9,Administrative Services Managers,11-3012.00,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",,,,,,,
6d4fa8e2-8166-532e-9253-804dc6e97feb,Facilities Managers,11-3013.00,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",,,,,,,
ef1189c9-79cb-59d2-9001-52ccf999f58c,Security Managers,11-3013.01,"Direct an organization's security functions, including physical security and safety of employees and facilities.",,,,,,,
61742852-db25-5ff9-bcd9-9038f3891dee,Computer and Information Systems Managers,11-3021.00,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",,,,,,,
37d12d9d-555b-5154-95e9-6ea6e253b71d,Financial Managers,11-3031.00,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",,,,,,,
