occupation_id,task_id,type,mode,environment
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,d0efe0a1-36dd-509d-95b7-66e37433f404,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,8766b388-c261-5e2a-a7fb-92da501afb63,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,dffdc1d3-ec06-5cee-82d3-7ec0ad00922e,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,688d8ce9-8cb8-564f-9096-0d0baa271571,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,19edf355-435b-5842-b5be-462ff2ca7b9a,Core,Communication,Indoors (Office/Lab)
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,4bdf47c9-4b86-5a7a-b068-9afd13190b07,Core,Process/Method,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,d6f25c3c-4ff9-5eb8-986b-32309d0fe6bb,Core,Process/Method,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,c703de48-acce-50b4-9d3f-d1fd74fe98c3,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,a1d4660f-5393-5a96-9f1b-c33949920382,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,f905e8d9-cdc9-5043-9839-2431870f718a,Core,Communication,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,14a86208-427c-595b-8ca5-ba4e7c16d390,Core,Communication,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,6987df9c-e984-56bc-b260-391e1a1002fb,Core,Process/Method,Independent
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,ca41da50-4cd6-51ef-814a-957083b0bfe3,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,8e65ca6a-0f28-55f0-806d-384347063094,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,19af90ef-8160-5357-8e1f-8e69456755b9,Core,Communication,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,c0582955-d371-58b0-b7c8-b6ce684fd3e8,Core,Communication,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,a6962821-7814-53fa-936d-e9c0fc62fece,Supplemental,Software/Technology,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,0723291a-f05e-5a3a-b60c-a1ce545776ec,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,58950d7a-926f-5d84-860d-6428f9a4dc8d,Core,Communication,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,23949d28-16b1-549f-84f8-965fc2b9ac33,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,e7253bb1-c909-5cc8-be4d-7b798f5e5370,Core,Communication,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,75005fe9-681a-555f-85a1-eedd678aa8c4,Core,Communication,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,5e5acfe0-19d3-51a9-8b76-4743bcb46873,Core,Communication,Team-Oriented
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,32d911d9-0e32-501b-b6c6-5aa18780d6ec,Core,Process/Method,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,7acb778c-28b5-5597-bddf-c30430e81f43,Core,Communication,Public-Facing
4a742feb-b2f2-5b15-a33c-1bdac0d62a8a,8277a332-1425-5be4-a2df-6f934ca5531d,Core,Process/Method,Public-Facing
