id,name,source_ref,description,type_dims,level_dims,basis_dims,environment_dims,mode_dims,physicality_dims,cognitive_dims
c587c0c9-18e7-56a9-8180-4fa75d20ad26,Reading Comprehension,2.A.1.a,,Technical,Expert|Proficient,Academic|Professional Development,,,,
9bc1762c-8a07-5b67-b0a1-2c4ccf857cce,Active Listening,2.A.1.b,,Technical,Expert|Proficient|Novice,Academic|Professional Development,,,,
9b120bc4-68dc-5fc4-b305-27569bb446d6,Writing,2.A.1.c,,Technical,Proficient|Expert,Academic|Professional Development,,,,
65ef0736-b09f-59a0-ac77-b2ca8ebdbf62,Speaking,2.A.1.d,,Technical,Expert|Proficient|Novice,Academic|Professional Development,,,,
1a988ac9-5604-5a3f-a678-fe1be579175e,Mathematics,2.A.1.e,,Technical,Proficient|Expert,Academic|Professional Development,,,,
4dce2871-ed18-5c9e-b3d9-9d7ed0dfae71,Critical Thinking,2.A.2.a,,Technical,Expert|Proficient,Academic|Professional Development,,,,
56875511-7a9a-5e8c-b071-d2308d8e9a71,Active Learning,2.A.2.b,,Technical,Proficient|Expert,Academic|Professional Development,,,,
b3364690-0cfa-5d5e-b1b0-976811ca33f9,Learning Strategies,2.A.2.c,,Technical,Proficient|Expert,Academic|Professional Development,,,,
6c6b4247-edc2-5bff-87ae-a6a48fe1ac08,Monitoring,2.A.2.d,,Technical,Expert|Proficient,Academic|Professional Development,,,,
42a83859-99c7-52a2-a0aa-3fea5e176e85,Social Perceptiveness,2.B.1.a,,Analytical,Proficient|Expert|Novice,Academic|Professional Development,,,,
06f6bb51-4e57-5227-86cc-da6cb71881b8,Coordination,2.B.1.b,,Analytical,Expert|Proficient,Academic|Professional Development,,,,
973143ec-710f-5851-8aa2-ad2a4fb5a6c0,Persuasion,2.B.1.c,,Analytical,Expert|Proficient,Academic|Professional Development,,,,
e0b3f7d0-c9c1-5441-9788-7e165c427e10,Negotiation,2.B.1.d,,Analytical,Expert|Proficient,Academic|Professional Development,,,,
c6c21f17-de09-519e-8006-5974da95e0b2,Instructing,2.B.1.e,,Analytical,Proficient|Expert,Academic|Professional Development,,,,
6fd576d8-74ac-57ef-aeb7-bcfcd1f9af80,Service Orientation,2.B.1.f,,Analytical,Proficient|Expert|Novice,Academic|Professional Development,,,,
0acea47d-04e9-5fed-884e-0277d4070737,Complex Problem Solving,2.B.2.i,,Social,Expert|Proficient,Academic|Professional Development,,,,
a9335454-2dc3-5019-9369-c840a18229b6,Operations Analysis,2.B.3.a,,Technical,Proficient|Expert,Academic|Professional Development,,,,
fa4d99d5-3f07-5d06-a3bb-b47d725fbe14,Judgment and Decision Making,2.B.4.e,,Management,Expert|Proficient,Academic|Professional Development,,,,
9c0eea47-a883-521d-9b09-ca22c40e4fc9,Systems Analysis,2.B.4.g,,Management,Expert|Proficient,Academic|Professional Development,,,,
b724187b-bc99-57f9-b160-5652aaf0dfd1,Systems Evaluation,2.B.4.h,,Management,Expert|Proficient,Academic|Professional Development,,,,
c1e8b005-4b9b-5be7-9686-7c7269f3d98f,Time Management,2.B.5.a,,Management,Expert|Proficient,Academic|Professional Development,,,,
157b6267-353a-5158-ab6f-5d9c2320c674,Management of Financial Resources,2.B.5.b,,Management,Expert|Proficient,Academic|Professional Development,,,,
396e9bd8-2d2a-5d76-b9c5-2e032413a3ad,Management of Personnel Resources,2.B.5.d,,Management,Expert|Proficient,Academic|Professional Development,,,,
6384f720-14db-5031-951d-8a958f03e67e,Operations Monitoring,2.B.3.g,,Technical,Proficient|Expert,Academic,,,,
b4cefcc5-229c-5707-9b45-cde8ab7ba5d4,Quality Control Analysis,2.B.3.m,,Technical,Proficient,Academic,,,,
a3b2c9f1-de7e-5f9a-88cd-fa838059e66f,Science,2.A.1.f,,Technical,Proficient|Expert,Academic,,,,
d680bac9-8a65-52be-9a1f-eab67e97b8b1,Operation and Control,2.B.3.h,,Technical,Proficient|Expert,Academic,,,,
3b32deba-1486-5239-98ee-5cb71d5248cd,Troubleshooting,2.B.3.k,,Technical,Proficient,Academic,,,,
91816b82-aa89-5576-9e22-dca84d9f0d28,Programming,2.B.3.e,,Technical,Proficient|Expert,On-the-Job Training|Vocational Training,,,,
69d814e3-fca2-5540-a67f-f5f0053e01f4,Technology Design,2.B.3.b,,Technical,Proficient,Academic|Professional Development,,,,
55d853c3-fb87-5075-ac16-09bf25672a02,Equipment Maintenance,2.B.3.j,,Technical,Proficient|Expert,Academic,,,,
31c7d39e-37b3-50d7-bb68-5cd2b08f2569,Repairing,2.B.3.l,,Technical,Proficient,Academic,,,,
f0cc4386-f476-5313-9e92-be97ff7235c7,Equipment Selection,2.B.3.c,,Technical,Proficient,Academic,,,,
973e551b-29e9-5e7d-9f1d-5b7852b6fbd0,Installation,2.B.3.d,,Technical,Proficient,On-the-Job Training|Vocational Training,,,,
