id,name,source_ref,description,type_dims,level_dims,basis_dims,environment_dims,mode_dims,physicality_dims,cognitive_dims
d0efe0a1-36dd-509d-95b7-66e37433f404,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",TASK_8823,,Core,,,Team-Oriented,Communication,,
8766b388-c261-5e2a-a7fb-92da501afb63,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",TASK_8824,,Core,,,Team-Oriented,Communication,,
dffdc1d3-ec06-5cee-82d3-7ec0ad00922e,"Prepare budgets for approval, including those for funding or implementation of programs.",TASK_8827,,Core,,,Team-Oriented,Communication,,
688d8ce9-8cb8-564f-9096-0d0baa271571,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",TASK_8826,,Core,,,Team-Oriented,Communication,,
19edf355-435b-5842-b5be-462ff2ca7b9a,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",TASK_8834,,Core,,,Indoors (Office/Lab),Communication,,
4bdf47c9-4b86-5a7a-b068-9afd13190b07,Implement corrective action plans to solve organizational or departmental problems.,TASK_8836,,Core,,,Independent,Process/Method,,
d6f25c3c-4ff9-5eb8-986b-32309d0fe6bb,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",TASK_8825,,Core,,,Independent,Process/Method,,
c703de48-acce-50b4-9d3f-d1fd74fe98c3,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",TASK_8828,,Core,,,Team-Oriented,Communication,,
a1d4660f-5393-5a96-9f1b-c33949920382,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",TASK_8832,,Core,,,Team-Oriented,Communication,,
f905e8d9-cdc9-5043-9839-2431870f718a,Appoint department heads or managers and assign or delegate responsibilities to them.,TASK_8831,,Core,,,Independent,Communication,,
14a86208-427c-595b-8ca5-ba4e7c16d390,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",TASK_8843,,Core,,,Public-Facing,Communication,,
6987df9c-e984-56bc-b260-391e1a1002fb,Review reports submitted by staff members to recommend approval or to suggest changes.,TASK_8830,,Core,,,Independent,Process/Method,,
ca41da50-4cd6-51ef-814a-957083b0bfe3,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",TASK_8829,,Core,,,Team-Oriented,Communication,,
8e65ca6a-0f28-55f0-806d-384347063094,Establish departmental responsibilities and coordinate functions among departments and sites.,TASK_8835,,Core,,,Team-Oriented,Communication,,
19af90ef-8160-5357-8e1f-8e69456755b9,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",TASK_8839,,Core,,,Public-Facing,Communication,,
c0582955-d371-58b0-b7c8-b6ce684fd3e8,"Serve as liaisons between organizations, shareholders, and outside organizations.",TASK_8840,,Core,,,Public-Facing,Communication,,
a6962821-7814-53fa-936d-e9c0fc62fece,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",TASK_8837,,Supplemental,,,Team-Oriented,Software/Technology,,
0723291a-f05e-5a3a-b60c-a1ce545776ec,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",TASK_8833,,Core,,,Team-Oriented,Communication,,
58950d7a-926f-5d84-860d-6428f9a4dc8d,Attend and participate in meetings of municipal councils or council committees.,TASK_8849,,Core,,,Public-Facing,Communication,,
23949d28-16b1-549f-84f8-965fc2b9ac33,Organize or approve promotional campaigns.,TASK_8850,,Core,,,Team-Oriented,Communication,,
e7253bb1-c909-5cc8-be4d-7b798f5e5370,Nominate citizens to boards or commissions.,TASK_8842,,Core,,,Public-Facing,Communication,,
75005fe9-681a-555f-85a1-eedd678aa8c4,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",TASK_8851,,Core,,,Public-Facing,Communication,,
5e5acfe0-19d3-51a9-8b76-4743bcb46873,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,TASK_8847,,Core,,,Team-Oriented,Communication,,
32d911d9-0e32-501b-b6c6-5aa18780d6ec,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",TASK_8853,,Core,,,Public-Facing,Process/Method,,
7acb778c-28b5-5597-bddf-c30430e81f43,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",TASK_8844,,Core,,,Public-Facing,Communication,,
8277a332-1425-5be4-a2df-6f934ca5531d,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",TASK_20461,,Core,,,Public-Facing,Process/Method,,
44f75fa9-7fc6-5b75-951f-58413efdbf87,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",TASK_8838,,Supplemental,,,Public-Facing,Software/Technology,,
221bdea8-afc7-5c32-ae15-70a21ceca9c3,Refer major policy matters to elected representatives for final decisions.,TASK_8845,,Core,,,Public-Facing,Communication,,
975df265-036c-5d60-a9e7-63529ae99a69,Direct or conduct studies or research on issues affecting areas of responsibility.,TASK_8848,,Core,,,Independent,Theory/Concept,,
0e399351-fd5d-5b38-bbe7-e86c78d6946a,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",TASK_8846,,Core,,,Outdoors,Software/Technology,,
84749868-2180-525f-82ea-432d78ec887e,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",TASK_8852,,Core,,,Public-Facing,Communication,,
1c71f94f-99a9-503b-90d6-12b504e644f3,Monitor and evaluate effectiveness of sustainability programs.,TASK_15382,,Core,,,Independent,Software/Technology,,
52a05f76-08bc-5ad5-8e1a-3fdde44ac0e7,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",TASK_15384,,Core,,,Outdoors,Communication,,
f69e10d7-52b2-5312-be1f-f94ecfc9e4b3,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",TASK_15379,,Core,,,Independent,Software/Technology,,
8dcb6d51-2cc8-5411-94d2-433ca8e74d75,Supervise employees or volunteers working on sustainability projects.,TASK_15372,,Core,,,Team-Oriented,Communication,,
14d2b1c5-f8cb-5597-a7a1-36b5263c61c6,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",TASK_15378,,Core,,,Team-Oriented,Communication,,
3d44a864-fef1-5f7c-aa74-2a0c29daa1c1,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",TASK_15380,,Core,,,Outdoors,Communication,,
453b4bc9-2b20-553e-a0bd-03a40f1d6fb1,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,TASK_15368,,Core,,,Indoors (Office/Lab),Process/Method,,
bcc2e4d9-7e18-54c2-bebb-c8a1c1640d4f,"Create and maintain sustainability program documents, such as schedules and budgets.",TASK_15370,,Core,,,Indoors (Office/Lab),Process/Method,,
04b699fd-10b4-5186-92a0-e2ed3175476b,Formulate or implement sustainability campaign or marketing strategies.,TASK_15375,,Core,,,Team-Oriented,Communication,,
57bfba67-522f-5438-a01b-92d7650a74a7,"Research environmental sustainability issues, concerns, or stakeholder interests.",TASK_15376,,Core,,,Indoors (Office/Lab),Communication,,
14df37e8-941f-5c21-950b-ae5ed3dca3d2,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,TASK_15383,,Core,,,Independent,Process/Method,,
9db92f27-7443-52d0-94bc-2174753dd63d,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",TASK_15377,,Core,,,Indoors (Office/Lab),Process/Method,,
20365569-0ca4-5b14-9ba2-d20a34b90043,Develop methodologies to assess the viability or success of sustainability initiatives.,TASK_15381,,Core,,,Independent,Process/Method,,
6a386027-b89e-5eb9-8f83-c4970f44a9c8,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",TASK_15374,,Core,,,Indoors (Office/Lab),Process/Method,,
ae9abbe4-e9b2-5214-a573-53b9c205c436,Write and distribute financial or environmental impact reports.,TASK_15373,,Core,,,Indoors (Office/Lab),Communication,,
a7288547-b16c-5234-aeff-40d15ad93aa7,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",TASK_15371,,Core,,,Outdoors,Communication,,
